period,oha,ohv,ogs,ocp,ocf
1,6532.282211930335,766066.0,6115995.608585446,26633022.86162108,1479134.935102134
2,6858.896322526851,727762.6999999996,7868910.0785845965,27615357.307351004,1547818.0801325368
3,6430.3991721272605,727762.6999999996,9856115.217669487,28474975.1085822,1619828.360739867
4,6205.66810133382,727762.6999999998,11917281.566312334,29106770.596335057,1675273.622757076
5,6205.668101333824,727762.6999999998,13924979.728024662,29442670.291810755,1701558.605945672
6,6205.668101333824,727762.6999999997,15786653.576041581,29579350.457090992,1708866.9518907617
7,6205.668101333821,727762.7,17435504.60662162,29639202.07770211,1702058.4076869478
8,6858.896322526853,727762.7000000002,18824354.21259905,29678058.604603905,1694676.3291996012
9,6858.896322526851,727762.6999999998,19923190.726334997,29705209.869283196,1688680.9648528232
10,6858.8963225268535,727762.7000000004,20719968.375581514,29651104.78404906,1686808.7291812554
