period,oha,ohv,ogs,ocp,ocf
1,4000.891569447953,459639.6,6476497.25564427,26644814.77637805,-487289.1517262049
2,4200.936147920352,436657.62000000005,8607242.81451805,27680479.363826286,-513595.4567081304
3,4200.936147920349,436657.62,11036522.824703947,28571665.316327482,-524355.3265794904
4,3918.9581107647086,436657.62,13607745.497969275,29300648.36530742,-531344.6786117688
5,4200.936147920353,436657.62000000005,16183736.143269869,29719473.991679724,-518239.10615169944
6,4159.990185742045,436657.61999999994,18634555.884210262,29849051.189050768,-512664.12282356736
7,4200.936147920351,436657.62,20861684.493813686,29865369.464198474,-522116.6153935205
8,4200.936147920351,436657.6200000001,22831795.298244093,29892669.820763733,-539104.7843881332
9,3800.8469909755554,436657.6200000001,24516477.86285982,29950659.106553677,-549838.4693702271
10,3800.846990975557,436657.62,25945151.97494362,30023061.147751607,-551473.9341446199
